"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"T5D6RS3T","conferencePaper","2025","C. A. Galvis-Florez; A. Farooq; S. Särkkä","Quantum-Assisted Gaussian Process Regression Using Random Fourier Features","2025 IEEE International Conference on Quantum Software (QSW)","","","10.1109/QSW67625.2025.00012","","Probabilistic machine learning models are distinguished by their ability to integrate prior knowledge of noise statistics, smoothness parameters, and training data uncertainty. A common approach involves modeling data with Gaussian processes; however, their computational complexity quickly becomes intractable as the training dataset grows. To address this limitation, we introduce a quantum-assisted algorithm for sparse Gaussian process regression based on the random Fourier feature kernel approximation. We start by encoding the data matrix into a quantum state using a multi-controlled unitary operation, which encodes the classical representation of the random Fourier features matrix used for kernel approximation. We then employ a quantum principal component analysis along with a quantum phase estimation technique to extract the spectral decomposition of the kernel matrix. We apply a conditional rotation operator to the ancillary qubit based on the eigenvalue. We then use Hadamard and swap tests to compute the mean and variance of the posterior Gaussian distribution. We achieve a polynomialorder computational speedup relative to the classical method.","2025-07-07","2026-07-02 19:56:59","2026-07-10 00:57:28","","22-27","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2025 IEEE International Conference on Quantum Software (QSW)","","","","Data models; Eigenvalues and eigenfunctions; Feature extraction; Gaussian process regression; Gaussian processes; Kernel; kernel function approximation; Matrix decomposition; Principal component analysis; quantum principal component analysis; Quantum state; Quantum-assisted algorithm; random Fourier features; Software algorithms; Sparse matrices","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025 IEEE International Conference on Quantum Software (QSW)","","","","","","","","","","","","","","",""
"B8RB34E7","conferencePaper","2023","H. Kim","Evaluation of Entaglement-based Quantum Key Distribution for Genome Data Transmission","2023 IEEE MIT Undergraduate Research Technology Conference (URTC)","","","10.1109/URTC60662.2023.10534960","","Quantum Key Distribution (QKD) provides a method for two parties to communicate securely by generating a private key. Using IBM Qiskit, a python-based quantum software development kit, the Ekert 91 Protocol has been simulated on IBM's “qasm_simulator” using 864 maximally entangled states from a simulated photon source. Considering both cases where there is and is not an eavesdropper intercepting the entangled photons, the Clauser-Horne-Shimony-Holt (CHSH) inequality demonstrated that the use of entanglement-based QKD to encrypt genome data (length of 1 million bases) with one-time-pad encryption is theoretically highly viable.","2023-10-06","2026-07-02 19:56:59","2026-07-10 00:58:24","","1-4","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2023 IEEE MIT Undergraduate Research Technology Conference (URTC)","","","","CHSH Inequality; Data communication; E91 Protocol; Encryption; Genomics; Protocols; Quantum Cryptography; Quantum entanglement; Quantum key distribution; Quantum Key Distribution; Software","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023 IEEE MIT Undergraduate Research Technology Conference (URTC)","","","","","","","","","","","","","","",""
"H92EH399","conferencePaper","2023","A. M. K. Cheng","Work in Progress: Response Time Analysis of Real-Time Quantum Computing Systems","2023 IEEE 29th Real-Time and Embedded Technology and Applications Symposium (RTAS)","2642-7346","","10.1109/RTAS58335.2023.00033","","Despite the potential of quantum computing for drastically accelerating suitable real-time applications, response time analysis is still required to guarantee that quantum programs running on quantum computers satisfy application-specific timing requirements. This paper describes an inaugural project to determine whether a quantum program running on a quantum computer satisfies the timing constraints of a realtime application, that is, is quantum computing punctual and reliable in this time-sensitive application domain? Can this timing guarantee be formally verified? We leverage the existing work on the functional reactive programming (FRP) model to predict the worst-case response time (WCRT) of fault-tolerant classical computing systems since the timing analysis of re-executions for fault recovery plus transient-faults-induced wasted execution times is similar to determining the response time of FRP tasks. Ongoing work shows that accounting for wasted execution times due to errors in quantum computers resulting from quantum decoherence and state fidelity can be treated similarly and develops a mapping from quantum programs to FRP programs for efficient timing analysis.","2023-05-09","2026-07-02 19:56:59","2026-07-10 00:56:57","","329-332","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2023 IEEE 29th Real-Time and Embedded Technology and Applications Symposium (RTAS)","","","","Computers; Fault tolerance; Fault tolerant systems; Formal verification; Programming; Quantum computing; Quantum decoherence; Real-time systems; Reliability; Response time analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023 IEEE 29th Real-Time and Embedded Technology and Applications Symposium (RTAS)","","","","","","","","","","","","","","",""
"TNA9ZI8V","conferencePaper","2025","J. J. Park; J. Seo; S. Bae; S. Y. -C. Chen; H. -H. Tseng; J. Cha; S. Yoo","Resting-State fMRI Analysis Using Quantum Time-Series Transformer","2025 IEEE International Conference on Quantum Computing and Engineering (QCE)","","","10.1109/QCE65121.2025.00256","","Resting-state functional magnetic resonance imaging (fMRI) has emerged as a pivotal tool for revealing intrinsic brain network connectivity and identifying neural biomarkers of neuropsychiatric conditions. However, classical self-attention transformer models—despite their formidable representational power—struggle with quadratic complexity, large parameter counts, and substantial data requirements. To address these barriers, we introduce a Quantum Time-series Transformer, a novel quantum-enhanced transformer architecture leveraging Linear Combination of Unitaries and Quantum Singular Value Transformation. Unlike classical transformers, Quantum Timeseries Transformer operates with polylogarithmic computational complexity, markedly reducing training overhead and enabling robust performance even with fewer parameters and limited sample sizes. Empirical evaluation on the largest-scale fMRI datasets from the Adolescent Brain Cognitive Development Study and the UK Biobank demonstrates that Quantum Time-series Transformer achieves comparable or superior predictive performance compared to state-of-the-art classical transformer models, with especially pronounced gains in small-sample scenarios. Interpretability analyses using SHapley Additive exPlanations further reveal that Quantum Time-series Transformer reliably identifies clinically meaningful neural biomarkers of attentiondeficit/hyperactivity disorder (ADHD). These findings underscore the promise of quantum-enhanced transformers in advancing computational neuroscience by more efficiently modeling complex spatio-temporal dynamics and improving clinical interpretability.","2025-09-30","2026-07-02 19:56:59","2026-07-10 00:58:39","","2352-2363","","","01","","","","","","","","","","","","","","","","","Journal Abbreviation: 2025 IEEE International Conference on Quantum Computing and Engineering (QCE)","","","","Quantum computing; Biological system modeling; Biomarkers; Brain modeling; computational efficiency; Computational modeling; Functional magnetic resonance imaging; generalizability in small sample size; Integrated circuit modeling; interpretability; Neuroimaging; quantum application in neuropsychopathology; quantum transformer; resting-state functional mri; spatio-temporal learning; Training; Transformers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025 IEEE International Conference on Quantum Computing and Engineering (QCE)","","","","","","","","","","","","","","",""
"NB3EQBLR","conferencePaper","2024","A. Świerkowska; J. Echavarria; L. Schulz; M. Schulz","Achieving Pareto-Optimality in Quantum Circuit Compilation via a Multi-Objective Heuristic Optimization Approach","2024 IEEE International Conference on Quantum Computing and Engineering (QCE)","","","10.1109/QCE60285.2024.10297","","High Performance Computing-Quantum Computing (HPCQC) integration presents a promising yet challenging opportunity, particularly in the area of quantum circuit compilation and optimization, requiring further advancements in the field of Quantum Computing (QC). To address this, we introduce the Munich Quantum Compiler, a key component of the Munich Quantum Software Stack (MQSS). This compiler employs a heuristic-based approach to select a Pareto-optimal subset of optimizations in the form of LLVM passes for quantum circuits described in an LLVM-compliant Intermediate Representation (IR).","2024-09-15","2026-07-02 19:56:59","2026-07-10 00:57:03","","306-310","","","02","","","","","","","","","","","","","","","","","Journal Abbreviation: 2024 IEEE International Conference on Quantum Computing and Engineering (QCE)","","","","Quantum circuit; Logic gates; Optimization; Benchmark testing; Encoding; Full stack; Genetic Algorithm; LLVM; MOEA; Multi-objective Optimization; NSGA-II; Parallel processing; QIR; Quantum Compilation; Quantum Computing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 IEEE International Conference on Quantum Computing and Engineering (QCE)","","","","","","","","","","","","","","",""
"A4V7LNWC","journalArticle","2022","F. Chiti; R. Picchi; L. Pierucci","Metropolitan Quantum-Drone Networking and Computing: A Software-Defined Perspective","IEEE Access","","2169-3536","10.1109/ACCESS.2022.3226127","","Swarms of drones are utilized in a wide range of applications, considering that they can be deployed on-demand and are economically affordable. Furthermore, they can also have a significant role in the creation of future Quantum Networks (QNs). As a matter of fact, the use of drones allows deploying a non terrestrial Quantum Metropolitan Area Network (QMAN), overcoming Optical Fibers’ (OFs) limits, due to the large percentage of photons that scatters before reaching the receiver. However, random fluctuations of drones’ positions and atmospheric turbulence can affect the quality of the Free Space Optic (FSO) link with a significant impact on performance. Considering that Quantum Drone Networks (QDNs) require significant control, Software-Defined Networking (SDN) paradigm can play a key role in their provisioning. Specifically, an SDN Controller is responsible for managing the global strategies for the distribution of end-to-end (E2E) entangled pairs. Therefore, this paper provides the design of an SDN-based architecture for supporting high-performance Metropolitan Quantum Drone Networks (MQDNs) with a specific protocol for creating entanglement between two Ground Stations (GSs) through the swarm of drones. The proposed architecture can be employed for distributed quantum computing applications and entanglement-based Quantum Key Distribution (QKD) services. Moreover, a suited objective function to optimize the planning and operation of the swarm mission has been proposed. Finally, the paper provides a performance evaluation considering the most relevant metrics, such as fidelity, entanglement rate, and the overhead of the proposed protocol, pointing out that even higher performance than OFs is achievable.","2022","2026-07-02 19:56:59","2026-07-10 00:58:00","","126062-126073","","","10","","IEEE Access","","","","","","","","","","","","","","","","","","","Protocols; Quantum entanglement; Quantum computing; Qubit; Computer architecture; Drones; Quantum cloud; quantum drone swarms; quantum internet; quantum key distribution; quantum software-defined networking; Teleportation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8R3YXK68","journalArticle","2025","D. Alvarez-Estevez","Benchmarking Quantum Machine Learning Kernel Training for Classification Tasks","IEEE Transactions on Quantum Engineering","","2689-1808","10.1109/TQE.2025.3541882","","Quantum-enhanced machine learning is a rapidly evolving field that aims to leverage the unique properties of quantum mechanics to enhance classical machine learning. However, the practical applicability of these methods remains an open question, particularly beyond the context of specifically crafted toy problems, and given the current limitations of quantum hardware. This study focuses on quantum kernel methods in the context of classification tasks. In particular, it examines the performance of quantum kernel estimation and quantum kernel training (QKT) in connection with two quantum feature mappings, namely, ZZFeatureMap and CovariantFeatureMap. Remarkably, these feature maps have been proposed in the literature under the conjecture of possible near-term quantum advantage and have shown promising performance in ad hoc datasets. This study aims to evaluate their versatility and generalization capabilities in a more general benchmark, encompassing both artificial and established reference datasets. Classical machine learning methods, specifically support vector machines and logistic regression, are also incorporated as baseline comparisons. Experimental results indicate that quantum methods exhibit varying performance across different datasets. Despite outperforming classical methods in ad hoc datasets, mixed results are obtained for the general case among standard classical benchmarks. The experimental data call into question a general added value of applying QKT optimization, for which the additional computational cost does not necessarily translate into improved classification performance. Instead, it is suggested that a careful choice of the quantum feature map in connection with proper hyperparameterization may prove more effective.","2025","2026-07-02 19:56:59","2026-07-10 00:57:36","","1-15","","","6","","IEEE Transactions on Quantum Engineering","","","","","","","","","","","","","","","","","","","Kernel; Quantum state; Vectors; Quantum computing; Training; Benchmark testing; Estimation; Benchmarking; Machine learning; quantum kernel estimation (QKE); quantum kernel training (QKT), quantum machine learning (QML); Quantum mechanics; Support vector machines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25X2WPHN","conferencePaper","2023","J. Romero-Alvarez; J. Alvarado-Valiente; E. Moguel; J. Garcia-Alonso; J. M. Murillo","A Workflow for the Continuous Deployment of Quantum Services","2023 IEEE International Conference on Software Services Engineering (SSE)","","","10.1109/SSE60056.2023.00015","","The rapid advancements in quantum computing have opened new possibilities for solving complex problems in various fields, including cryptography, optimization, and simulation. However, the current approaches to quantum computing often require a deep understanding of quantum hardware and low-level programming languages, making it difficult for software developers to create and deploy quantum services. This paper argues for the adaptation of Service-Oriented Computing principles to quantum computing, enabling a level of abstraction from hardware that allows developers to focus on application development. This will allow developers to create and deploy quantum services, similarly to how Service-Oriented Computing has made it easier to develop traditional software services. This paper presents a Continuous Deployment approach for quantum service development, which involves the generation and deployment of quantum services. To do that, we propose an extension of the OpenAPI specification to generate services implementing a quantum algorithm. To validate the feasibility of the proposed process, we use a variety of quantum algorithm implementations to test their generation and deployment of quantum services.","2023-07-02","2026-07-02 19:56:59","2026-07-10 00:58:42","","1-8","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2023 IEEE International Conference on Software Services Engineering (SSE)","","","","Software; Hardware; Quantum Computing; Codes; Quantum algorithm; Containers; Continuous Deployment; OpenAPI; Quantum Services; Quantum Software Development; Source coding; Uniform resource locators","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023 IEEE International Conference on Software Services Engineering (SSE)","","","","","","","","","","","","","","",""
"ITR4PBVC","journalArticle","2024","F. Qi; K. N. Smith; T. LeCompte; N. -f. Tzeng; X. Yuan; F. T. Chong; L. Peng","Quantum Vulnerability Analysis to Guide Robust Quantum Computing System Design","IEEE Transactions on Quantum Engineering","","2689-1808","10.1109/TQE.2023.3343625","","While quantum computers provide exciting opportunities for information processing, they currently suffer from noise during computation that is not fully understood. Incomplete noise models have led to discrepancies between quantum program success rate (SR) estimates and actual machine outcomes. For example, the estimated probability of success (ESP) is the state-of-the-art metric used to gauge quantum program performance. The ESP suffers poor prediction since it fails to account for the unique combination of circuit structure, quantum state, and quantum computer properties specific to each program execution. Thus, an urgent need exists for a systematic approach that can elucidate various noise impacts and accurately and robustly predict quantum computer success rates, emphasizing application and device scaling. In this article, we propose quantum vulnerability analysis (QVA) to systematically quantify the error impact on quantum applications and address the gap between current success rate (SR) estimators and real quantum computer results. The QVA determines the cumulative quantum vulnerability (CQV) of the target quantum computation, which quantifies the quantum error impact based on the entire algorithm applied to the target quantum machine. By evaluating the CQV with well-known benchmarks on three 27-qubit quantum computers, the CQV success estimation outperforms the estimated probability of success state-of-the-art prediction technique by achieving on average six times less relative prediction error, with best cases at 30 times, for benchmarks with a real SR rate above 0.1%. Direct application of QVA has been provided that helps researchers choose a promising compiling strategy at compile time.","2024","2026-07-02 19:56:59","2026-07-10 00:58:10","","1-11","","","5","","IEEE Transactions on Quantum Engineering","","","","","","","","","","","","","","","","","","","Computers; Quantum computing; Logic gates; Computational modeling; Integrated circuit modeling; Benchmark testing; Error analysis; resilience; Resilience; success rate (SR); vulnerability analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACVKX8PV","conferencePaper","2025","A. Mjeda; H. Murray","Quantum Babel: Breaching the Notational and Conceptual Divide of Physics and Mathematics to Build Quantum Intuition in Computer Science Students","2025 IEEE International Conference on Quantum Computing and Engineering (QCE)","","","10.1109/QCE65121.2025.20534","","Quantum computing poses unique challenges for computer science students due to the field's reliance on mathematical formalism, abstract physical concepts, and unfamiliar notation. While computer science students are typically proficient in algorithmic thinking and systems design, they often lack the background in quantum mechanics and linear algebra necessary to navigate the field's conceptual landscape. This mismatch can result in a form of disciplinary dissonance, a ‘Quantum Babel', where understanding breaks down due to divergent cognitive and notational frameworks. This paper proposes a layered, analogy-driven pedagogical framework that re-contextualizes quantum concepts using metaphors and structures familiar to CS learners. Grounded in cognitive load theory and analogical reasoning, the approach aims to reduce extraneous cognitive load through metaphorical scaffolding. For example, the quantum Hamiltonian is recast as an operating system task scheduler, facilitating intuitive understanding of time evolution and energy landscapes in quantum systems. We present a series of conceptual mappings and illustrative examples that enable learners to build quantum intuition using analogies drawn from classical computing domains such as signal processing, debugging, and resource scheduling. Our goal is to foster quantum intuition in learners without requiring a deep background in physics, supporting the emergence of a new generation of quantum-literate computer scientists. This work contributes to the growing field of quantum software engineering education and lays the foundation for empirically validated, cross-disciplinary teaching tools.","2025-09-30","2026-07-02 19:56:59","2026-07-10 00:57:01","","119-128","","","03","","","","","","","","","","","","","","","","","Journal Abbreviation: 2025 IEEE International Conference on Quantum Computing and Engineering (QCE)","","","","Quantum computing; Software engineering; Education; Quantum mechanics; Computer science; analogies; Cognitive load; computer science; curriculum development; education; layered learning; Operating systems; pedagogy; quantum; scaffolding; Signal processing; Signal processing algorithms; System analysis and design; teaching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025 IEEE International Conference on Quantum Computing and Engineering (QCE)","","","","","","","","","","","","","","",""
