"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"T5D6RS3T","conferencePaper","2025","C. A. Galvis-Florez; A. Farooq; S. Särkkä","Quantum-Assisted Gaussian Process Regression Using Random Fourier Features","2025 IEEE International Conference on Quantum Software (QSW)","","","10.1109/QSW67625.2025.00012","","Probabilistic machine learning models are distinguished by their ability to integrate prior knowledge of noise statistics, smoothness parameters, and training data uncertainty. A common approach involves modeling data with Gaussian processes; however, their computational complexity quickly becomes intractable as the training dataset grows. To address this limitation, we introduce a quantum-assisted algorithm for sparse Gaussian process regression based on the random Fourier feature kernel approximation. We start by encoding the data matrix into a quantum state using a multi-controlled unitary operation, which encodes the classical representation of the random Fourier features matrix used for kernel approximation. We then employ a quantum principal component analysis along with a quantum phase estimation technique to extract the spectral decomposition of the kernel matrix. We apply a conditional rotation operator to the ancillary qubit based on the eigenvalue. We then use Hadamard and swap tests to compute the mean and variance of the posterior Gaussian distribution. We achieve a polynomialorder computational speedup relative to the classical method.","2025-07-07","2026-07-02 19:56:59","2026-07-10 00:57:28","","22-27","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2025 IEEE International Conference on Quantum Software (QSW)","","","","Data models; Eigenvalues and eigenfunctions; Feature extraction; Gaussian process regression; Gaussian processes; Kernel; kernel function approximation; Matrix decomposition; Principal component analysis; quantum principal component analysis; Quantum state; Quantum-assisted algorithm; random Fourier features; Software algorithms; Sparse matrices","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025 IEEE International Conference on Quantum Software (QSW)","","","","","","","","","","","","","","",""
"HSLHXLZH","conferencePaper","2022","C. -Y. Wei; Y. -H. Tsai; C. -S. Jhang; J. -H. R. Jiang","Accurate BDD-based Unitary Operator Manipulation for Scalable and Robust Quantum Circuit Verification","2022 59th ACM/IEEE Design Automation Conference (DAC)","0738-100X","","","","Quantum circuit verification is essential, ensuring that quantum program compilation yields a sequence of primitive unitary operators executable correctly and reliably on a quantum processor. Most prior quantum circuit equivalence checking methods rely on edge-weighted decision diagrams and suffer from scalability and verification accuracy issues. This work overcomes these issues by extending a recent BDD-based algebraic representation of state vectors to support unitary operator manipulation. Experimental results demonstrate the superiority of the new method in scalability and exactness in contrast to the inexactness of prior approaches. Also, our method is much more robust in verifying dissimilar circuits than previous work.","2022-06-06","2026-07-02 19:56:59","2026-07-10 00:57:28","","523-528","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2022 59th ACM/IEEE Design Automation Conference (DAC)","","","","Accuracy; Design automation; Integrated circuit reliability; Quantum circuit; Scalability; Vectors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022 59th ACM/IEEE Design Automation Conference (DAC)","","","","","","","","","","","","","","",""
"B8RB34E7","conferencePaper","2023","H. Kim","Evaluation of Entaglement-based Quantum Key Distribution for Genome Data Transmission","2023 IEEE MIT Undergraduate Research Technology Conference (URTC)","","","10.1109/URTC60662.2023.10534960","","Quantum Key Distribution (QKD) provides a method for two parties to communicate securely by generating a private key. Using IBM Qiskit, a python-based quantum software development kit, the Ekert 91 Protocol has been simulated on IBM's “qasm_simulator” using 864 maximally entangled states from a simulated photon source. Considering both cases where there is and is not an eavesdropper intercepting the entangled photons, the Clauser-Horne-Shimony-Holt (CHSH) inequality demonstrated that the use of entanglement-based QKD to encrypt genome data (length of 1 million bases) with one-time-pad encryption is theoretically highly viable.","2023-10-06","2026-07-02 19:56:59","2026-07-10 00:58:24","","1-4","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2023 IEEE MIT Undergraduate Research Technology Conference (URTC)","","","","CHSH Inequality; Data communication; E91 Protocol; Encryption; Genomics; Protocols; Quantum Cryptography; Quantum entanglement; Quantum key distribution; Quantum Key Distribution; Software","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023 IEEE MIT Undergraduate Research Technology Conference (URTC)","","","","","","","","","","","","","","",""
"H92EH399","conferencePaper","2023","A. M. K. Cheng","Work in Progress: Response Time Analysis of Real-Time Quantum Computing Systems","2023 IEEE 29th Real-Time and Embedded Technology and Applications Symposium (RTAS)","2642-7346","","10.1109/RTAS58335.2023.00033","","Despite the potential of quantum computing for drastically accelerating suitable real-time applications, response time analysis is still required to guarantee that quantum programs running on quantum computers satisfy application-specific timing requirements. This paper describes an inaugural project to determine whether a quantum program running on a quantum computer satisfies the timing constraints of a realtime application, that is, is quantum computing punctual and reliable in this time-sensitive application domain? Can this timing guarantee be formally verified? We leverage the existing work on the functional reactive programming (FRP) model to predict the worst-case response time (WCRT) of fault-tolerant classical computing systems since the timing analysis of re-executions for fault recovery plus transient-faults-induced wasted execution times is similar to determining the response time of FRP tasks. Ongoing work shows that accounting for wasted execution times due to errors in quantum computers resulting from quantum decoherence and state fidelity can be treated similarly and develops a mapping from quantum programs to FRP programs for efficient timing analysis.","2023-05-09","2026-07-02 19:56:59","2026-07-10 00:56:57","","329-332","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2023 IEEE 29th Real-Time and Embedded Technology and Applications Symposium (RTAS)","","","","Computers; Fault tolerance; Fault tolerant systems; Formal verification; Programming; Quantum computing; Quantum decoherence; Real-time systems; Reliability; Response time analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023 IEEE 29th Real-Time and Embedded Technology and Applications Symposium (RTAS)","","","","","","","","","","","","","","",""
"BEBLFX5H","conferencePaper","2025","Y. -S. Lee; J. Lee; Y. Kang","A Comparative Study of Quantum Circuit Mapping Techniques for NISQ Devices","2025 16th International Conference on Information and Communication Technology Convergence (ICTC)","2162-1241","","10.1109/ICTC66702.2025.11389032","","Noisy Intermediate-Scale Quantum (NISQ) computers impose severe architectural constraints that prevent direct execution of logical quantum circuits. As a result, quantum circuit mapping—transforming ideal circuits into hardware-compatible forms—has become a critical task in quantum software toolchains. This paper presents a comparative study of key mapping techniques, focusing on circuit depth, SWAP gate overhead, and fidelity awareness. Through a case analysis on a 5-qubit Quantum Fourier Transform (QFT) circuit, we demonstrate the performance trade-offs of several prominent mapping strategies, including naive greedy routing, Qiskit’s SABRE, and CQC’s t|ket>. Our findings reveal that mapping technique selection has a profound impact on circuit quality and feasibility on real NISQ hardware.","2025-10-14","2026-07-02 19:56:59","2026-07-10 01:03:24","","2203-2204","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2025 16th International Conference on Information and Communication Technology Convergence (ICTC)","","","","Integrated circuit reliability; Quantum circuit; Software; Hardware; Logic gates; NISQ; Noise measurement; Optimization; Performance evaluation; quantum circuit; quantum circuit mapping; Quantum system; Routing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025 16th International Conference on Information and Communication Technology Convergence (ICTC)","","","","","","","","","","","","","","",""
"TNA9ZI8V","conferencePaper","2025","J. J. Park; J. Seo; S. Bae; S. Y. -C. Chen; H. -H. Tseng; J. Cha; S. Yoo","Resting-State fMRI Analysis Using Quantum Time-Series Transformer","2025 IEEE International Conference on Quantum Computing and Engineering (QCE)","","","10.1109/QCE65121.2025.00256","","Resting-state functional magnetic resonance imaging (fMRI) has emerged as a pivotal tool for revealing intrinsic brain network connectivity and identifying neural biomarkers of neuropsychiatric conditions. However, classical self-attention transformer models—despite their formidable representational power—struggle with quadratic complexity, large parameter counts, and substantial data requirements. To address these barriers, we introduce a Quantum Time-series Transformer, a novel quantum-enhanced transformer architecture leveraging Linear Combination of Unitaries and Quantum Singular Value Transformation. Unlike classical transformers, Quantum Timeseries Transformer operates with polylogarithmic computational complexity, markedly reducing training overhead and enabling robust performance even with fewer parameters and limited sample sizes. Empirical evaluation on the largest-scale fMRI datasets from the Adolescent Brain Cognitive Development Study and the UK Biobank demonstrates that Quantum Time-series Transformer achieves comparable or superior predictive performance compared to state-of-the-art classical transformer models, with especially pronounced gains in small-sample scenarios. Interpretability analyses using SHapley Additive exPlanations further reveal that Quantum Time-series Transformer reliably identifies clinically meaningful neural biomarkers of attentiondeficit/hyperactivity disorder (ADHD). These findings underscore the promise of quantum-enhanced transformers in advancing computational neuroscience by more efficiently modeling complex spatio-temporal dynamics and improving clinical interpretability.","2025-09-30","2026-07-02 19:56:59","2026-07-10 00:58:39","","2352-2363","","","01","","","","","","","","","","","","","","","","","Journal Abbreviation: 2025 IEEE International Conference on Quantum Computing and Engineering (QCE)","","","","Quantum computing; Biological system modeling; Biomarkers; Brain modeling; computational efficiency; Computational modeling; Functional magnetic resonance imaging; generalizability in small sample size; Integrated circuit modeling; interpretability; Neuroimaging; quantum application in neuropsychopathology; quantum transformer; resting-state functional mri; spatio-temporal learning; Training; Transformers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025 IEEE International Conference on Quantum Computing and Engineering (QCE)","","","","","","","","","","","","","","",""
"LWJXYBB6","journalArticle","2023","V. Russo; A. Mari; N. Shammah; R. LaRose; W. J. Zeng","Testing Platform-Independent Quantum Error Mitigation on Noisy Quantum Computers","IEEE Transactions on Quantum Engineering","","2689-1808","10.1109/TQE.2023.3305232","","We apply quantum error mitigation (QEM) techniques to a variety of benchmark problems and quantum computers to evaluate the performance of QEM in practice. To do so, we define an empirically motivated, resource-normalized metric of the improvement of error mitigation, which we call the improvement factor, and calculate this metric for each experiment we perform. The experiments we perform consist of zero-noise extrapolation and probabilistic error cancellation applied to two benchmark problems run on IBM, IonQ, and Rigetti quantum computers, as well as noisy quantum computer simulators. Our results show that error mitigation is, on average, more beneficial than no error mitigation—even when normalized by the additional resources used—but also emphasize that the performance of QEM depends on the underlying computer.","2023","2026-07-02 19:56:59","2026-07-10 01:02:31","","1-18","","","4","","IEEE Transactions on Quantum Engineering","","","","","","","","","","","","","","","","","","","Quantum computing; Noise measurement; Benchmark testing; Qubit; Superconducting devices","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NB3EQBLR","conferencePaper","2024","A. Świerkowska; J. Echavarria; L. Schulz; M. Schulz","Achieving Pareto-Optimality in Quantum Circuit Compilation via a Multi-Objective Heuristic Optimization Approach","2024 IEEE International Conference on Quantum Computing and Engineering (QCE)","","","10.1109/QCE60285.2024.10297","","High Performance Computing-Quantum Computing (HPCQC) integration presents a promising yet challenging opportunity, particularly in the area of quantum circuit compilation and optimization, requiring further advancements in the field of Quantum Computing (QC). To address this, we introduce the Munich Quantum Compiler, a key component of the Munich Quantum Software Stack (MQSS). This compiler employs a heuristic-based approach to select a Pareto-optimal subset of optimizations in the form of LLVM passes for quantum circuits described in an LLVM-compliant Intermediate Representation (IR).","2024-09-15","2026-07-02 19:56:59","2026-07-10 00:57:03","","306-310","","","02","","","","","","","","","","","","","","","","","Journal Abbreviation: 2024 IEEE International Conference on Quantum Computing and Engineering (QCE)","","","","Quantum circuit; Logic gates; Optimization; Benchmark testing; Encoding; Full stack; Genetic Algorithm; LLVM; MOEA; Multi-objective Optimization; NSGA-II; Parallel processing; QIR; Quantum Compilation; Quantum Computing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 IEEE International Conference on Quantum Computing and Engineering (QCE)","","","","","","","","","","","","","","",""
"EH33W7Z9","conferencePaper","2022","M. Mykhailova","Developing Programming Assignments for Teaching Quantum Computing and Quantum Programming","2022 IEEE International Conference on Quantum Computing and Engineering (QCE)","","","10.1109/QCE53715.2022.00092","","This report describes a variety of programming assignments that can be used to teach quantum computing in a practical manner. These assignments let the learners get hands-on experience with all stages of quantum software development process, from solving quantum computing problems and implementing the solutions to debugging the programs, performing resource estimation, and running the code on quantum hardware.","2022-09-18","2026-07-02 19:56:59","2026-07-10 00:59:28","","688-692","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2022 IEEE International Conference on Quantum Computing and Engineering (QCE)","","","","Software; Programming; Quantum computing; debugging; Debugging; automated grading; Codes; Education; Estimation; programming assignments; quantum computing; quantum programming","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022 IEEE International Conference on Quantum Computing and Engineering (QCE)","","","","","","","","","","","","","","",""
"63V5RJ6N","conferencePaper","2024","Y. -H. Chou; Y. -C. Jiang; S. -Y. Kuo; S. -Y. Kung","Bridging the Quantum Education Gap: Hands-on Visualization Projects for Quantum Search Algorithm","2024 IEEE International Conference on Quantum Computing and Engineering (QCE)","","","10.1109/QCE60285.2024.20466","","Quantum education has been increasingly emphasized at both the post-secondary and secondary education stages, in line with the advent of the quantum computing paradigm. Traditional quantum computing education, however, necessitates an extensive background in physics, mathematics, and information science, which can be challenging for beginners. This study presents the experience of implementing a college curriculum at National Chi Nan University in Taiwan, designed to enable learners at all levels to grasp the concept of a quantum algorithm using accessible math yet rigorous enough for verification. The study succinctly conveys the concept of the quantum Grover algorithm, provides necessary background knowledge, and elucidates the ideas using three distinct visualization methods. Furthermore, this study offers a novel presentation for aligning the results of geometrical representation with the corresponding quantum circuit layout. The hands-on project demonstration motivates learners to explore solutions using their visualization tool, enhancing their engagement and sense of achievement. Developing these tools deepens learners' understanding and promotes active peer education, thereby improving their participation and retention of quantum knowledge. The visualization tools developed through this process serve as a valuable contribution to quantum education, offering an effective quantum tool and a user-friendly interface for learning, teaching, researching, and providing fresh insights and perspectives. By making quantum computing concepts more understandable through accessible math and visualization, we aim to lower the entry-level barrier to learning quantum computing, encouraging more talents to engage in quantum computing for their research studies.","2024-09-15","2026-07-02 19:56:59","2026-07-10 01:03:23","","112-121","","","03","","","","","","","","","","","","","","","","","Journal Abbreviation: 2024 IEEE International Conference on Quantum Computing and Engineering (QCE)","","","","Software algorithms; Quantum circuit; Software; Visualization; Quantum system; Education; Grover Algorithm; Hands-on Project; Mathematics; Physics; Quantum algorithm; Quantum Computing and Engineering; Quantum Education; Quantum Software Tool; Solids; Visualization Tool","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 IEEE International Conference on Quantum Computing and Engineering (QCE)","","","","","","","","","","","","","","",""
